id,PlayerName,DraftAge,country_group,Height,Weight,Position,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
8467359,Artem Chubarov,19,EURO,73,205,C,3,37,4,6,10,4,0,0,0,0,0,0,0,228,yes,-1.7919119999999988,0.85716153336280965,1
8467361,Blair Betts,18,CAN,75,210,C,18,71,35,41,76,38,0,11,4,6,10,8,0,35,yes,-2.0782690000000006,0.88877302948595294,1
8467363,Christian Berglund,18,EURO,71,195,L,7,30,23,19,42,88,0,2,0,0,0,0,0,86,yes,-1.5040260000000005,0.81817417225535283,1
8467369,Ossi Vaananen,18,EURO,76,215,D,13,44,3,9,12,52,0,7,0,2,2,16,0,303,yes,-0.7872650000000001,0.68724377157397987,1
8467397,Dimitri Afanasenkov,18,EURO,74,209,L,10,48,14,7,21,20,0,0,0,0,0,0,0,85,yes,-1.5309400000000002,0.8221438058044489,1
8467399,Julien Vauclair,19,EURO,72,200,D,12,53,9,8,17,34,0,7,0,0,0,25,0,1,yes,-1.3843389999999993,0.79968695868791528,1
8467416,Josef Vasicek,18,EURO,77,214,C,21,34,13,20,33,0,0,0,0,0,0,0,0,293,yes,-0.8193720000000001,0.69410301688024278,1
8467421,Mikko Jokela,18,EURO,73,212,D,15,54,8,13,21,40,0,0,0,0,0,0,0,1,yes,-1.054744,0.74168483632547977,1
8467438,Miroslav Zalesak,18,EURO,73,211,R,18,57,40,35,75,30,0,0,0,0,0,0,0,12,yes,-1.8629250000000006,0.8656375164687482,1
8467499,Tomas Zizka,19,EURO,73,198,D,20,44,3,7,10,2,0,0,0,0,0,0,0,25,yes,-1.0235049999999988,0.73565476845875422,1
8467510,Petr Svoboda,18,EURO,75,216,D,14,31,1,4,5,16,0,0,0,0,0,0,0,18,yes,-1.0239079999999992,0.73573313114820882,1
8467875,Daniel Sedin,19,EURO,73,190,L,1,65,26,27,53,24,0,13,4,8,12,14,0,397,yes,-2.3287980000000004,0.9112341592596922,1
8467876,Henrik Sedin,19,EURO,74,183,C,2,63,15,28,43,46,0,13,2,8,10,6,0,400,yes,-1.3310920000000024,0.7910212070234881,1
8467877,Pavel Brendl,18,EURO,73,204,R,2,68,73,61,134,40,0,20,21,25,46,18,0,78,yes,-2.2367250000000003,0.90349929362980019,1
8467878,Tim Connolly,18,USA,73,190,C,4,52,35,34,69,58,0,0,0,0,0,0,0,388,yes,-3.2231330000000007,0.96169559247114533,1
8467880,Kris Beech,18,CAN,75,211,C,7,72,26,47,73,105,0,10,1,10,11,10,0,109,yes,-2.3778489999999994,0.91512250811144102,1
8467881,Taylor Pyatt,18,CAN,76,230,L,8,68,37,38,75,95,0,4,0,4,4,6,0,308,yes,-3.783501,0.97776280994391385,1
8467882,Jamie Lundmark,18,CAN,72,197,C,3,70,40,51,91,121,0,11,5,4,9,24,0,164,yes,-2.821548,0.94382919105886931,1
8467883,Branislav Mezei,19,EURO,76,235,D,9,70,5,19,24,106,0,22,0,5,5,37,0,138,yes,-1.238197,0.77525002010197663,1
8467884,Oleg Saprykin,18,EURO,73,190,L,10,66,47,46,93,107,0,11,5,11,16,36,0,254,yes,-1.7222610000000005,0.84841983824054712,1
8467885,Denis Shvidki,19,EURO,74,210,R,5,68,36,63,99,8,0,12,7,9,16,2,0,76,yes,-2.962545,0.95085306218217713,1
8467886,Jani Rita,18,EURO,73,206,L,5,64,12,15,27,47,0,6,1,1,2,8,0,66,yes,-1.445501000000001,0.80930506765982724,1
8467887,Jeff Jillson,19,USA,75,215,D,11,44,5,19,24,77,0,0,0,0,0,0,0,140,yes,-2.963285,0.9508876319691153,1
8467890,Barret Jackman,18,CAN,72,203,D,15,73,9,37,46,259,0,0,0,0,0,0,0,161,yes,-1.2906329999999997,0.78425431172359406,1
8467891,Konstantin Koltsov,18,EURO,72,218,L,9,63,13,10,23,62,0,1,0,0,0,2,0,144,yes,-1.3845920000000005,0.79972748310998365,1
8467892,Kirill Safronov,18,EURO,74,215,D,6,56,3,6,9,62,0,0,0,0,0,0,0,35,yes,-1.3829710000000017,0.79946773203511612,1
8467893,Barrett Heisten,19,USA,73,200,L,14,40,14,20,34,80,0,0,0,0,0,0,0,10,yes,-2.6587599999999987,0.93454885999433845,1
8467896,Steve McCarthy,18,CAN,73,210,D,13,60,19,34,53,79,0,6,0,5,5,8,0,201,yes,-2.3937990000000013,0.9163532223967833,1
8467898,Mikhail Kuleshov,18,EURO,75,220,L,8,50,11,10,21,54,0,3,0,0,0,4,0,3,yes,-1.5463939999999985,0.82439230304760769,1
8467899,Martin Havlat,18,EURO,74,210,R,3,61,32,30,62,12,0,8,0,0,0,0,0,298,yes,-2.3790720000000003,0.9152174543457805,1
8467901,Kristian Kudroc,18,EURO,79,255,D,17,24,0,4,4,23,0,0,0,0,0,0,0,26,yes,-1.4845659999999996,0.81526125765902224,1
8467902,Michal Sivek,18,EURO,75,213,C,7,48,8,13,21,50,0,0,0,0,0,0,0,38,yes,-1.1444669999999995,0.75849884127135214,1
8467903,Luke Sellars,18,CAN,73,210,D,21,60,5,19,24,93,0,13,2,2,4,13,0,1,yes,-0.7568979999999996,0.68067987747154934,1
8467908,Milan Bartovic,18,EURO,71,197,R,20,53,41,37,78,68,0,6,9,3,12,10,0,50,yes,-0.7134470000000013,0.67116237293327496,1
8467914,Tony Salmelainen,18,EURO,69,185,L,13,43,29,24,53,79,0,2,1,2,3,12,0,13,yes,-1.0975300000000017,0.74979701597271542,1
8467917,Jordan Leopold,19,USA,73,206,D,16,45,7,17,24,20,0,0,0,0,0,0,0,214,yes,-2.6947769999999993,0.93671774226700266,1
8467922,Brett Lysak,19,CAN,72,190,C,12,61,39,49,88,84,0,0,0,0,0,0,0,2,yes,-3.474106000000001,0.96994195838529995,1
8467928,Doug Janik,19,USA,74,211,D,17,41,4,13,17,46,0,0,0,0,0,0,0,10,yes,-2.4386910000000013,0.91973050227386377,1
8467951,Mattias Weinhandl,19,EURO,72,195,R,19,44,20,23,43,32,0,5,4,3,7,4,0,170,yes,-0.8244689999999979,0.69518416044174014,1
8468482,Dany Heatley,19,EURO,75,212,L,1,49,32,32,64,36,0,0,0,0,0,0,0,354,yes,-3.846551000000001,0.97909317190986567,1
8468483,Marian Gaborik,18,EURO,73,205,R,4,63,34,24,58,46,0,5,1,2,3,2,0,408,yes,-1.999116000000001,0.88070423240032514,1
8468484,Rostislav Klesla,18,EURO,75,215,D,2,67,16,29,45,174,0,6,1,1,2,21,0,328,yes,-1.7447629999999994,0.85129104499334285,1
8468485,Raffi Torres,19,CAN,72,215,L,6,68,43,48,91,40,0,6,5,2,7,23,0,275,yes,-4.644158,0.9904739932627874,1
8468486,Scott Hartnell,18,CAN,74,215,L,3,62,27,55,82,124,0,6,3,2,5,6,0,436,yes,-3.5810719999999994,0.97290855236818952,1
8468487,Lars Jonsson,18,EURO,73,198,D,11,45,16,22,38,56,0,2,0,0,0,0,0,8,yes,-1.4248949999999998,0.80610465120965646,1
8468488,Nikita Alexeev,19,EURO,78,227,R,7,64,24,29,53,42,0,13,4,3,7,6,0,159,yes,-2.2853549999999987,0.90765686180861405,1
8468490,Mikhail Yakubov,18,EURO,75,202,C,2,36,16,26,42,18,0,0,0,0,0,0,0,53,yes,-2.0353130000000004,0.88445514597113295,1
8468491,Pavel Vorobiev,18,EURO,72,194,R,1,58,24,22,46,36,0,10,2,2,4,0,0,57,yes,-1.4619559999999998,0.81183165760312082,1
8468492,Alexei Smirnov,18,EURO,75,215,L,3,54,11,12,23,74,0,0,0,0,0,0,0,52,yes,-1.8860710000000003,0.86830689908290359,1
8468493,Ron Hainsey,19,USA,75,210,D,9,37,4,9,13,24,0,0,0,0,0,0,0,167,yes,-3.0895979999999996,0.95646162771767873,1
8468494,Vaclav Nedorost,18,EURO,73,190,C,6,65,16,15,31,16,0,3,0,0,0,0,0,99,yes,-1.1334240000000004,0.75647023250593126,1
8468496,Marcel Hossa,19,EURO,75,220,L,20,67,24,30,54,66,0,0,0,0,0,0,0,187,yes,-2.127819999999999,0.89357787585317583,1
8468497,Alexei Mikhnov,18,EURO,77,200,L,19,53,24,17,41,10,0,0,0,0,0,0,0,2,yes,-1.482126,0.81489348570933973,1
8468498,Brooks Orpik,20,USA,75,219,D,4,45,2,10,12,108,0,0,0,0,0,0,0,219,yes,-3.684986000000001,0.97551693819597962,1
8468500,Alex Frolov,18,EURO,74,210,L,7,52,38,22,60,52,0,0,0,0,0,0,0,307,yes,-2.6594140000000013,0.93458885203391084,1
8468501,Anton Volchenkov,18,EURO,73,220,D,10,42,3,10,13,52,0,0,0,0,0,0,0,229,yes,-1.250164000000002,0.77732824906869336,1
8468503,Nathan Smith,18,CAN,74,206,C,13,70,21,28,49,72,0,12,1,6,7,4,0,4,yes,-1.4936840000000002,0.8166305770669513,1
8468504,Brad Boyes,18,CAN,72,199,R,5,71,36,49,85,42,0,13,6,8,14,10,0,164,yes,-2.7553080000000016,0.94021242666797489,1
8468505,Steve Ott,18,CAN,72,193,C,12,66,23,39,62,131,0,12,3,5,8,21,0,200,yes,-1.2724069999999996,0.78115450817459353,1
8468506,Brian Sutherby,18,CAN,74,208,C,8,47,18,17,35,102,0,4,1,1,2,12,0,254,yes,-1.938089999999999,0.87414215990479016,1
8468507,Martin Samuelsson,18,EURO,74,197,L,9,31,15,13,28,28,0,2,1,0,1,2,0,14,yes,-1.4495570000000013,0.80993024649154055,1
8468508,Justin Williams,19,CAN,73,188,R,19,68,37,46,83,46,0,23,14,16,30,10,0,422,yes,-1.2999440000000004,0.7858255581834015,1
8468510,Jeff Taffe,19,USA,75,207,L,10,46,11,14,25,24,0,0,0,0,0,0,0,100,yes,-3.214633999999998,0.96138128183170368,1
8468512,Tomas Kurka,19,EURO,71,190,L,16,64,36,28,64,37,0,17,7,6,13,6,0,17,yes,-1.2097750000000014,0.77025913546783475,1
8468531,Kris Vernarsky,18,USA,75,207,C,21,64,16,22,38,63,0,19,3,6,9,24,0,17,yes,-0.44961100000000165,0.61054674173424206,1
8468532,Shane Endicott,19,CAN,75,209,C,11,70,23,32,55,62,0,7,1,6,7,6,0,45,yes,-2.7305270000000004,0.93880412082972531,1
8468535,Antoine Vermette,18,CAN,73,198,C,15,71,30,41,71,87,0,6,0,1,1,6,0,216,yes,-2.091095000000001,0.89003464232841223,1
8468542,Paul Martin,19,USA,73,200,D,18,24,15,35,50,26,0,0,0,0,0,0,0,232,yes,-3.0596190000000005,0.95519599427058821,1
8469454,Ilya Kovalchuk,18,EURO,75,230,R,1,53,43,24,67,141,0,12,14,4,18,38,0,466,yes,-1.8100080000000007,0.85936284113543293,1
8469455,Jason Spezza,18,CAN,75,210,C,1,63,46,76,122,45,0,9,4,5,9,10,0,322,yes,-4.418026000000001,0.98808565202137244,1
8469456,Alexander Svitov,19,EURO,75,228,C,2,52,11,8,19,214,0,14,2,1,3,34,0,179,yes,-0.8678930000000028,0.70430708607091796,1
8469457,Stephen Weiss,18,CAN,71,190,C,3,62,40,47,87,45,0,18,7,16,23,10,0,323,yes,-2.239998999999999,0.90378437133116074,1
8469458,Stanislav Chistov,18,EURO,70,193,R,3,43,18,15,33,14,0,5,0,0,0,2,0,196,yes,-1.3293709999999992,0.79073657177808609,1
8469459,Mikko Koivu,18,EURO,75,215,C,4,60,11,43,54,42,0,10,3,11,14,8,0,203,yes,-1.2710060000000005,0.78091490988493595,1
8469460,Mike Komisarek,19,USA,76,235,D,4,48,4,12,16,77,0,0,0,0,0,0,0,295,yes,-3.620138,0.97391943033442308,1
8469462,Tuomo Ruutu,18,EURO,72,200,L,5,56,13,14,27,98,0,5,0,0,0,4,0,245,yes,-1.1626800000000026,0.7618193436991495,1
8469464,Fredrik Sjostrom,18,EURO,73,218,L,9,55,10,14,24,38,0,9,1,2,3,8,0,279,yes,-1.1348370000000019,0.75673044529052313,1
8469465,Dan Hamhuis,19,CAN,73,200,D,2,69,13,48,61,133,0,6,2,3,5,15,0,323,yes,-3.451982000000001,0.96929019317855269,1
8469466,Ales Hemsky,18,EURO,72,185,R,9,68,36,64,100,67,0,5,2,3,5,2,0,349,yes,-1.9799110000000006,0.87867167433711235,1
8469467,Chuck Kobasew,19,CAN,72,192,R,20,43,27,22,49,38,0,0,0,0,0,0,0,293,yes,-2.3495879999999993,0.91290147403450239,1
8469469,R.J. Umberger,19,USA,74,214,C,5,45,17,25,42,20,0,0,0,0,0,0,0,228,yes,-3.5681079999999996,0.97256475076482818,1
8469470,Carlo Colaiacovo,18,CAN,73,202,D,10,62,12,27,39,59,0,14,4,7,11,16,0,101,yes,-1.7431009999999993,0.85108052190075878,1
8469473,Marcel Goc,18,EURO,73,197,C,12,76,15,33,48,16,0,0,0,0,0,0,0,210,yes,-1.2298620000000013,0.77379442012918365,1
8469474,Colby Armstrong,19,CAN,74,185,R,8,76,36,43,79,168,0,25,6,7,13,41,0,199,yes,-1.8882990000000002,0.86856146194900463,1
8469475,Jiri Novotny,18,EURO,75,204,C,11,34,10,10,20,0,0,0,0,0,0,0,0,147,yes,-1.0072020000000002,0.73247221924632822,1
8469476,Tim Gleason,18,USA,72,217,D,12,54,8,29,37,126,0,9,1,2,3,23,0,262,yes,-1.7889360000000003,0.85679677746641414,1
8469477,Lukas Krajicek,18,EURO,75,205,D,6,61,8,27,35,53,0,7,0,5,5,0,0,207,yes,-1.4639199999999986,0.81213149651219496,1
8469478,Alexander Perezhogin,18,EURO,72,211,R,10,54,58,31,89,44,0,1,0,0,0,0,0,128,yes,-2.77962,0.94156454007785639,1
8469480,Jeff Woywitka,18,CAN,75,227,D,13,76,7,28,35,113,0,26,2,8,10,25,0,87,yes,-1.0955610000000018,0.74942744706288034,1
8469483,David Steckel,19,USA,78,215,C,16,40,17,19,36,86,0,0,0,0,0,0,0,79,yes,-2.5500989999999986,0.92758016526502574,1
8469486,Timofei Shishkanov,18,EURO,73,213,R,17,17,4,8,12,10,0,0,0,0,0,0,0,24,yes,-0.4068450000000015,0.60033112830937219,1
8469488,Mark Popovic,19,CAN,73,205,D,11,68,7,37,44,60,0,18,3,5,8,22,0,44,yes,-2.2674730000000007,0.90614710068320115,1
8469489,Duncan Milroy,18,CAN,73,196,R,7,68,38,54,92,51,0,19,9,12,21,6,0,5,yes,-2.267737000000001,0.90616955003259603,1
8469490,Tim Jackman,20,USA,74,225,R,21,37,11,14,25,92,0,0,0,0,0,0,0,68,yes,-2.4785000000000017,0.92262077820976229,1
8469492,Fedor Tyutin,18,EURO,74,221,D,16,40,3,8,11,38,0,0,0,0,0,0,0,250,yes,-0.9194510000000009,0.71493022996182698,1
8469516,Brendan Bell,18,CAN,74,205,D,15,68,7,32,39,59,0,20,1,11,12,22,0,48,yes,-1.1406379999999992,0.75779675731345175,1
8469521,Tomas Plekanec,19,EURO,71,196,C,14,63,16,14,30,34,0,0,0,0,0,0,0,231,yes,-1.1464110000000012,0.75885476101242832,1
8469531,Jay Harrison,19,CAN,76,222,D,18,60,4,15,19,114,0,9,1,1,2,17,0,13,yes,-1.9061270000000015,0.87058341088395297,1
8469534,Aaron Johnson,18,CAN,73,204,D,17,64,12,41,53,128,0,11,2,4,6,35,0,146,yes,-1.5054750000000006,0.8183896336517068,1
8469587,Tomas Plihal,18,EURO,73,210,C,18,58,20,18,38,2,0,0,0,0,0,0,0,25,yes,-0.9331710000000003,0.71771816958183654,1
8470041,Rick Nash,18,CAN,76,212,R,2,61,33,42,75,90,-16,12,10,9,19,21,0,441,yes,-1.7406460000000004,0.85076910088572955,1
8470054,Keith Ballard,20,USA,71,204,D,19,48,11,14,25,46,0,0,0,0,0,0,0,315,yes,-2.8792789999999995,0.94681256679635195,1
8470105,Scottie Upshall,19,CAN,72,200,R,5,68,35,54,89,149,0,4,1,2,3,21,0,230,yes,-3.6178019999999997,0.97386002932740223,1
8470120,Alexander Semin,18,EURO,74,211,R,2,59,23,16,39,90,0,2,2,0,2,0,0,254,yes,-1.6947910000000004,0.84485318440535351,1
8470137,Joni Pitkanen,19,EURO,75,220,D,1,56,5,18,23,65,0,5,0,0,0,12,0,340,yes,-2.557634000000001,0.92808470250059061,1
8470150,Jonas Johansson,18,EURO,74,190,R,19,39,20,20,40,38,0,2,0,0,0,0,0,1,yes,-0.5089959999999989,0.62457108395512251,1
8470151,Jay Bouwmeester,19,CAN,76,221,D,1,68,11,52,63,52,-3,0,0,0,0,0,0,471,yes,-4.560905,0.98965553147747465,1
8470152,Joakim Lindstrom,19,EURO,72,187,C,13,55,13,9,22,99,0,14,3,5,8,8,0,81,yes,0.18021499999999988,0.45506779117579454,1
8470169,Gregory Campbell,19,CAN,72,188,C,21,65,17,36,53,105,0,6,0,2,2,13,0,303,yes,-1.4477410000000008,0.80965052820560501,1
8470176,Sean Bergenheim,18,EURO,71,201,L,15,70,21,26,47,102,0,6,6,2,8,20,0,183,yes,-0.6195730000000017,0.65012142786212546,1
8470180,Eric Nystrom,19,USA,73,200,L,13,47,18,13,31,42,0,0,0,0,0,0,0,122,yes,-2.914441999999999,0.94855575645989976,1
8470199,Barry Tallackson,19,USA,77,215,R,17,44,13,10,23,44,0,0,0,0,0,0,0,20,yes,-2.418891,0.91825653997443246,1
8470201,Jiri Hudler,18,EURO,70,190,R,3,75,32,49,81,76,0,0,0,0,0,0,0,255,yes,-2.260813000000002,0.90557916997697296,1
8470230,Daniel Paille,18,CAN,73,200,L,12,62,27,30,57,54,0,13,6,4,10,13,0,193,yes,-2.1277210000000015,0.89356846093723064,1
8470257,Alexander Steen,18,CAN,72,211,L,12,57,23,26,49,69,0,12,2,3,5,2,0,314,yes,-2.113305000000001,0.89218964450856886,1
8470265,Anton Babchuk,18,EURO,77,200,D,7,48,10,11,21,100,0,0,0,0,0,0,0,168,yes,-1.3969220000000004,0.80169500210602007,1
8470267,Alexei Kaigorodov,19,EURO,72,194,C,9,46,4,12,16,20,0,9,0,3,3,2,0,6,yes,-0.7253270000000006,0.67377897842185297,1
8470268,Denis Grebeshkov,19,EURO,72,206,D,4,44,4,5,9,12,0,0,0,0,0,0,0,176,yes,-2.17189,0.89769666967594874,1
8470274,Chris Higgins,19,USA,72,205,L,9,34,18,19,37,38,0,0,0,0,0,0,0,282,yes,-3.363146999999999,0.96653272300592008,1
